name,description,material_name
Forest's Curse,"After an enemy Attacks, the target afflicts the enemy with 2 random debuffs. This trait does not stack.",Rotting Antler
Golden Aura,"After your Exotic creatures are killed, your other Exotic creatures gain a random trait. This trait does not stack.",Constellation of Huanglong
Graced By Whimsy,This creature has a 50% chance to gain double stats from stat-boosting effects.,Spriggan's Eye
Greybeard's Blessing,Your creatures grant 100% more healing to enemies with Blighted. This trait does not stack.,Black Ear
Grovel and Beg,"While this creature has less than 75% Health, it has 50% more Speed and has a 50% chance to avoid damage.",Kobold's Guidebook
Grubby Strength,"After this creature is killed, it deals damage to enemies equal to 3% of its lowest stat, multiplied by the number of times it Attacked in the current battle.",Pocket Grubs
Healing Breath,"At the start of this creature's turn, it heals one of your creatures for 150% Health.",Drake Teeth
Hearts and Minds,"At the start of this creature's turn, it gives away 20% of its stats (other than Health) to your other creatures.",Living Blood
Hungering Void,"At the start of this creature's turn, it Seals one of each creature's Spell Gems.",Voidborne Crystal Scraps
Indigestion,This creature ignores 10% of enemies' Defense for each dead creature.,Massive Jawbone
Inoculant,"After this creature Casts a spell, it increases the potency of enemies' Burning, Poisoned and Bomb debuffs by 10%.",Old World Microbe
Lab Assistant,Your creatures' Spell Gems that have the same name as this creature's Spell Gems deal 75% more damage. This trait does not stack.,Alchemical Catalyst
Last Ward,"This creature takes 20% less damage. After this creature is damaged by an enemy and it survives from this damage, the enemy takes damage equal to 80% of the damage dealt. This damage counts as spell damage.",Memory of Binding
Lizardry,Your creatures' Ethereal Spell Gems do to not consume any Charges. This trait does not stack.,Lizard Wizard's Tome
Love Thyself,"After an enemy gains Maximum Health, this creature Casts Vitality Explosion on it. This trait does not stack.",Otherworlder's Soul
Loyalty's Light,"After a creature is killed, this creature gains Rebirth and Shelled.",Pure Heart
Marrow Metabolism,"After this creature takes damage, its minions gain 1 stack.",Skull Shard
Mind Reave,"After an enemy Casts a spell, this creature deals damage to it equal to 35% of this creature's Intelligence.",Reaver's Skull
Natural Beauty,"At the start of battle, your creatures gain Crystal Shield. In addition, your creatures' Barrier buffs are 40% stronger. This trait does not stack.",Jewel Shell
Nine Tails' Knowledge,Your creatures' spells are 30% more potent. This trait does not stack.,Book of Nine Tails
Numerical Nightmare,"This creature has 75% more Attack and Speed while its level is odd, and 75% more Intelligence and Defense while its level is even.",Bloody Beads
Piercing Speed,This creature's attacks and spells ignore 30% of its enemies' Defense.,Sharp Shell
Pocket Tank,"While this creature has at least 3 buffs, it intercepts enemies' attacks on its allies and takes 50% less damage. This trait does not stack.",Decorated Shell
Projection,"After an adjacent ally Attacks, Casts a spell, Defends, or Provokes, this creature has a 50% chance to perform that action as well. This trait does not work on creatures that also have this trait.",Wireframe Matric
Propulsion,"After this creature is forcibly moved to the top of the Timeline, it gains Splashing and 75% Attack.",Angelic Halo
Puff Up,"After this creature is Attacked, it gains 30% Attack and Intelligence.",Pufferfish Spike
Reactive Heads,"After your creatures are damaged by an attack or spell, they have a 15% chance to be sent to the top of the Timeline.",Hydra's Scale
Red In Tooth And Claw,"After this creature is Attacked, it has a 50% chance to be sent to the top of the Timeline.",Crimson Powder
Redemption,"After this creature is killed, it heals your other creatures for an amount equal to 100% of its Maximum Health.",Certificate of Absolution
Reform,"After your other Death creatures are killed for the first time, they are resurrected with 30% Health. This trait does not stack.",Solidified Slime
Ride the Whirlwind,This creature's damage dealt by attacks and spells is based on 200% of its lowest stat rather than its Attack or Intelligence.,Eye of the Storm
Rollout,"At the start of this creature's turn, it Attacks a random enemy.",Nokium
Sacrificial Will,"After this creature is killed, your other creatures gain a random buff and a random minion.",Book of Infinity
Scaling,Your Exotic creatures have 7% more Intelligence for each non-Ethereal Spell Gem they have equipped. This trait does not stack.,Constellation of Seiryu
Shared Consciousness,"After an ally manually Casts a spell, this creature has a 50% chance to Cast that spell as well.",Kavnak's Worm
Stick Soul,"This creature's buffs, debuffs, and minions persist through death.",Roll of Tape
Sugar and Slice,"After an enemy takes damage from Burning, this creature Attacks it for 35% normal damage. This trait does not stack.",Nasty Dough
Tacos Inflation,Your creatures' consecutive attacks at the same time deal 10% more damage for each additional attack. This trait does not stack.,Beef Stick
Tiger's Spirit,Your Exotic creatures' attacks deal additional damage with attacks and spells equal to 25% of their Speed. This trait does not stack.,Constellation of Byakko
Turbulent Waters,"After this creature Attacks, it has a 50% chance to Cast Maelstrom.",Still Waters
Twin Souls,This creature's attacks deal 75% more damage and it Attacks 1 additional time.,Lost Soul
Unleash the Horde,Your creatures can have 3 additional stacks of each minion. This trait does not affect minions that normally have a maximum of 1 stack. This trait does not stack.,Nox's Staff
Wrath of Krorena,Your creatures deal 65% more damage to enemies that belong to their own class. This trait does not stack.,Nature's Fury
Crystal Lake,"This creature attacks and casts spells 2 additional times, but can't gain buffs.",Pink Bottled Fairy
Dead Butterflies,"The first 3 times this creature is killed, it is resurrected with 100% Health. This creature takes 75% more damage and deals 50% less damage.",Blue Bottled Fairy
Lost In Forever,"This creature's end-of-turn effects activate 1 additional time, but it has 50% less stats (other than Health).",Green Bottle Fairy
Master of Fae,"If all the creatures in your party are Fae, they have a 60% chance to avoid damage from spells. This trait does not stack.",Sigil of the Fae
Outgrow,"This creature's start-of-turn effects activate 1 additional time, but it has 50% less stats (other than Health).",Red Bottled Fairy
The Great Beyond,"This creature's automatically-cast spells have a 40% chance to be considered manually cast, but this creature cannot manually cast spells.",Yellow Bottled Fairy
True North,"This creature's start-of-turn and end-of-turn effects activate 1 additional time, but it has 95% lower stats (other than Health).",Purple Bottled Fairy
Darkbloom,"This creature's base stats are 20, plus 5 for each non-Ethereal Spell Gem it has equipped. The base stat that is increased by this trait is determined by the class of the Spell Gem. Only the first 8 Spell Gems are considered.",Particle of Akara
Echobreather,"This creature deals 20% more damage with attacks and spells, and takes 10% less damage for each different creature class fighting on your side. This trait does not stack.",Particle of Grom'Met
Fear of Success,This creature's attacks deal 75% more damage and afflict the target with Inverted.,Particle of Emus
Master of Godspawn,"If all the creatures in your party belong to the Godspawn race, at the start of battle, your Godspawn creatures gain their respective Avatar's trait.",Sigil of the Godspawn
Negative Noise,"While this creature is at 100% Health, it has a 90% chance to avoid damage.",Particle of Thana
Oathbreaker,Your creatures gain 100% more benefit from stat-increasing Realm Boosts. This trait does not stack.,Particle of Nalas
Rodian Aftermath,This creature deals 30% more damage with attacks and spells for each time each creature has died in the current battle.,Particle of Rengas
Something From Nothing,"Your creatures deal 5% more damage with attacks and spells, and take 1% less damage (up to 90%) for each time this creature has taken damage in the current battle. This trait does not stack.",Particle of 8004
